NO,BLOCK NO.,COLOR NAME,L,H,W,CBM,CUTTING QTY,DISPATCHED SLABS,DISPATCHED QTY,BALANCE SLABS,SFT FOR BAL SLABS,TOTAL SFT FOR BLOCK,Recovery
443,1157 C,IMPERIAL GOLD,350,100,100,3.5,712.48,22,664.07,0,0,,189.7342857
445,1204 A,IMPERIAL GOLD,350,205,80,5.74,1335.629709,34,823.84,6,,1728.94,143.5261324
446,1204 B,IMPERIAL GOLD,350,205,80,5.74,1000.710441,43,905.1,0,0,,157.6829268
447,1205-A,IMPERIAL GOLD,340,200,190,12.92,1288.61,28,496.52,15,,496.52,38.43034056
448,1205-B,IMPERIAL GOLD,340,200,190,12.92,1085.04,,,35,,,0
449,1205-C,IMPERIAL GOLD,340,200,190,12.92,920.99,26,684.79,5,,,53.00232198
450,1206,IMPERIAL GOLD,345,170,210,12.3165,4015.672766,,,58,,0,0
451,1207,IMPERIAL GOLD,350,205,190,13.6325,,,,0,,0,0
452,1208,IMPERIAL GOLD,340,210,170,12.138,4377.029064,60,3576.5,1,,3576.5,294.6531554
453,1209,IMPERIAL GOLD,340,150,200,10.2,,,,0,,0,0
454,1210 A,IMPERIAL GOLD,350,135,160,7.56,1057.911733,34,700.53,8,164.8305882,1446.230588,114.4656863
455,1210 B,IMPERIAL GOLD,350,135,160,7.56,,22,580.87,-22,,,76.83465608
456,1211,IMPERIAL GOLD,340,75,100,2.55,1126.480086,46,982.35,0,,982.35,385.2352941
457,1212 A,IMPERIAL GOLD,290,190,160,8.816,1637.201292,55,1432.15,0,0,2849.72,162.4489564
458,1212 B,IMPERIAL GOLD,290,190,160,8.816,1765.597417,60,1417.57,0,0,,160.7951452
459,1213 A,IMPERIAL GOLD,330,200,110,7.26,937.007535,32,797.33,4,99.66625,1729.485038,123.5532025
460,1213 B,IMPERIAL GOLD,330,200,110,7.26,1200.80732,33,742.49,4,89.99878788,,114.6678771
461,1214 A,IMPERIAL GOLD,345,205,200,14.145,2645.683531,,,38,,1414.83,0
462,1214 B,IMPERIAL GOLD,345,205,200,14.145,874.2303552,27,689.16,0,0,,48.72110286
463,1214 C,IMPERIAL GOLD,345,205,200,14.145,626.9106566,29,725.67,0,0,,51.30222694
464,1215 A,IMPERIAL GOLD,350,140,200,9.8,1921.420883,77,1579.52,0,0,1579.52,161.1755102
465,1215 B,IMPERIAL GOLD,350,140,200,9.8,,,,0,,,0
466,1216 A,IMPERIAL GOLD,340,190,200,12.92,2320.301399,71,2004.55,0,0,3996.432097,155.1509288
467,1216 B,IMPERIAL GOLD,340,190,200,12.92,2373.035522,62,1739.39,9,252.4920968,,154.1704409
468,1217 A,IMPERIAL GOLD,350,205,100,7.175,1137.061356,36,1029.33,0,0,2045.39,143.4606272
469,1217 B,IMPERIAL GOLD,350,205,100,7.175,1183.595264,36,1016.06,0,0,,141.6111498
470,1218 A,IMPERIAL GOLD,220,160,105,3.696,522.1743811,32,483.86,0,0,1058.17,130.9145022
471,1218 B,IMPERIAL GOLD,220,160,105,3.696,585.4682454,37,574.31,0,0,,155.3869048
472,1219 A,IMPERIAL GOLD,215,205,170,7.49275,790.5274489,46,702.21,5,76.32717391,1780.619107,103.9053984
473,1219 B,IMPERIAL GOLD,215,205,170,7.49275,616.6630786,17,289.75,14,238.6176471,,70.51718622
474,1219 C,IMPERIAL GOLD,215,205,170,7.49275,607.621098,28,414.5,4,59.21428571,,63.22302035
475,1220 A,IMPERIAL GOLD,345,165,95,5.407875,974.8385361,35,806.29,0,0,1661.28,149.095532
476,1220  B,IMPERIAL GOLD,345,165,95,5.407875,974.8385361,37,854.99,0,0,,158.1009176
477,1221 A,IMPERIAL GOLD,330,200,215,14.19,,,,0,,1719.686296,0
478,1221 B,IMPERIAL GOLD,330,200,215,14.19,902.9332616,30,843.94,0,0,,59.47427766
479,1221 C,IMPERIAL GOLD,330,200,215,14.19,1009.537137,27,815.35,2,60.3962963,,61.71573617
480,1222 A,IMPERIAL GOLD,330,195,205,13.19175,2164.327234,69,1784.13,0,0,3687.34,135.2458923
481,1222 B,IMPERIAL GOLD,330,195,205,13.19175,2239.666308,66,1903.21,0,0,,144.2727462
482,1296-A,IMPERIAL GOLD,300,150,145,6.525,1136.383208,51,1049.29,0,0,2143.58,160.810728
483,1296-B,IMPERIAL GOLD,300,150,145,6.525,1180.947255,53,1094.29,0,0,,167.7072797
484,1297-A,IMPERIAL GOLD,300,195,175,10.2375,1571.851453,,,55,,0,0
485,1297-B,IMPERIAL GOLD,300,195,175,10.2375,,,,,,,0
486,1298-A,IMPERIAL GOLD,295,200,135,7.965,1531.646932,51,1308.82,0,0,1308.82,164.3214062
487,1298-B,IMPERIAL GOLD,295,200,135,7.965,1349.795479,,,,,,0
488,1299,IMPERIAL GOLD,200,105,75,1.575,559.7416577,28,545.31,0,0,545.31,346.2285714
489,1300,IMPERIAL GOLD,260,90,95,2.223,926.803014,28,700.25,13,325.1160714,1025.366071,461.2532935
490,1301,IMPERIAL GOLD,275,105,65,1.876875,733.5844995,20,628.96,9,283.032,911.992,485.9098235
491,1302-A,IMPERIAL GOLD,340,170,135,7.803,1468.245425,55,1440.85,0,0,2681.588636,184.6533385
492,1302-B,IMPERIAL GOLD,340,170,135,7.803,1356.297094,44,1091.85,6,148.8886364,,159.0078991
493,1303-A,IMPERIAL GOLD,340,205,170,11.849,1914.800861,58,1675.95,0,0,3258.122222,141.4423158
494,1303-B,IMPERIAL GOLD,340,205,170,11.849,1580.538213,54,1498.9,3,83.27222222,,133.5279114
495,1304-A,IMPERIAL GOLD,325,210,160,10.92,1339.246502,46,1259.7,2,54.76956522,2330.349565,120.3726708
496,1304-B,IMPERIAL GOLD,325,210,160,10.92,878.5791173,57,1015.88,0,0,,93.02930403
497,1305,IMPERIAL GOLD,340,100,100,3.4,1327.018299,37,1268.25,3,102.8310811,1371.081081,403.2591415
498,1306-A,IMPERIAL GOLD,300,200,105,6.3,,,,,,844.25,0
499,1306-B,IMPERIAL GOLD,300,200,105,6.3,987.0613563,34,844.25,0,0,,134.0079365
500,1307-A,IMPERIAL GOLD,330,170,170,9.537,1930.678149,60,1739.06,0,0,1739.06,182.348747
501,1307-B,IMPERIAL GOLD,330,170,170,9.537,,,,,,,0
502,1308-A,IMPERIAL GOLD,250,95,100,2.375,720.3875135,30,553.31,3,55.331,1924.641,256.2698947
503,1308-B,IMPERIAL GOLD,250,95,100,2.375,592.8955867,34,635.3,0,0,,267.4947368
504,1308-C,IMPERIAL GOLD,250,95,100,2.375,824.1119483,33,680.7,0,0,,286.6105263
505,1309,IMPERIAL GOLD,340,110,60,2.244,824.1119483,,,25,,0,0
506,1310,IMPERIAL GOLD,305,115,110,3.85825,1186.759957,40,977.56,5,122.195,1099.755,285.0398497
507,1311-A,IMPERIAL GOLD,330,200,180,11.88,2576.103337,40,2614.06,0,0,3804.47,220.0387205
508,1311-B,IMPERIAL GOLD,330,200,180,11.88,1406.350915,20,1190.41,0,0,,100.202862
509,1312,IMPERIAL GOLD,320,105,200,6.72,1730.635091,,,,,0,0
510,1313-A,IMPERIAL GOLD,330,200,120,7.92,958.6221744,44,1229.73,0,0,2338.196667,155.2689394
511,1313-B,IMPERIAL GOLD,330,200,120,7.92,1252.960172,30,831.35,10,277.1166667,,139.9579125
512,1314-A,IMPERIAL GOLD,305,200,190,11.59,1675.694295,61,1681.98,0,0,3353.19,145.1233822
513,1314-B,IMPERIAL GOLD,305,200,190,11.59,1694.079656,61,1671.21,0,0,,144.1941329
514,1315,IMPERIAL GOLD,300,105,150,4.725,1489.020452,53,1475.55,0,0,1475.55,312.2857143
515,1316-A,IMPERIAL GOLD,330,130,120,5.148,1369.381055,43,1244.66,0,0,1244.66,241.7754468
516,1316-B,IMPERIAL GOLD,330,130,120,5.148,,,,,,,0
517,1317-A,IMPERIAL GOLD,280,200,150,8.4,1360.172228,53,1229.65,0,0,2185.549167,146.3869048
518,1317-B,IMPERIAL GOLD,280,200,150,8.4,1269.375673,12,216.43,41,739.4691667,,113.7975198
519,1319-A,IMPERIAL GOLD,200,175,165,5.775,1171.291712,53,932.75,4,70.39622642,1972.506226,173.7049743
520,1319-B,IMPERIAL GOLD,200,175,165,5.775,1192.335845,54,934.74,2,34.62,,167.8545455
521,1318,IMPERIAL GOLD,RECEIVED IN NEXT LOT,175,165,5.775,,,,,,,0
522,1320,IMPERIAL GOLD,330,200,190,12.54,4361.141012,72,3861.16,1,53.62722222,3914.787222,312.183989
523,1321-A,IMPERIAL GOLD,350,200,135,9.45,2927.87944,40,2703.66,0,0,3131.2725,286.1015873
524,1321-B,IMPERIAL GOLD,350,200,135,9.45,547.0398278,4,244.35,3,183.2625,,45.25
525,1318-A,IMPERIAL GOLD,335,205,200,13.735,2170.07535,,,70,,0,0
526,1318-B,IMPERIAL GOLD,335,205,200,13.735,2280.086114,,,70,,,0
527,1127-B [A1],IMPERIAL GOLD,340,200,120,8.16,1298.170075,,,40,,,0
528,1127-B [A2],IMPERIAL GOLD,340,200,120,8.16,1462.325081,,,44,,,0
529,1352-A,IMPERIAL GOLD,330,200,210,13.86,2421.184069,,,71,,,0
530,1352-B,IMPERIAL GOLD,330,200,210,13.86,2304.251884,,,71,,,0
531,1353-A,IMPERIAL GOLD,340,200,155,10.54,1788.53606,,,53,,,0
532,1353-B,IMPERIAL GOLD,340,200,155,10.54,1788.53606,,,53,,,0
533,1354-A,IMPERIAL GOLD,335,135,140,6.3315,1177.556512,,,51,,0,0
534,1354-B,IMPERIAL GOLD,335,135,140,6.3315,1154.467169,,,50,,,0
535,1355,IMPERIAL GOLD,335,200,200,13.4,5200.645856,,,70,,,0
536,1356-A,IMPERIAL GOLD,335,200,170,11.39,1935.414424,,,58,,,0
537,1356-B,IMPERIAL GOLD,335,200,170,11.39,1936.663079,,,58,,,0
538,1357-A,IMPERIAL GOLD,335,180,190,11.457,2226.722282,65,1981.16,0,0,1981.16,172.9213581
539,1357-B,IMPERIAL GOLD,335,180,190,11.457,1811.625404,,,66,,,0
540,1358-A,IMPERIAL GOLD,335,205,150,10.30125,,,,,,,0
541,1358-B,IMPERIAL GOLD,335,205,150,10.30125,2034.881593,,,57,,,0
542,1359,IMPERIAL GOLD,330,120,220,8.712,,,,,,,0
543,1360,IMPERIAL GOLD,290,160,120,5.568,,,,,,,0
544,1361-A,IMPERIAL GOLD,260,170,150,6.63,1126.501615,,,57,,,0
545,1361-B,IMPERIAL GOLD,260,170,150,6.63,,,,,,,0
546,1362-A,IMPERIAL GOLD,340,205,200,13.94,2370.742734,71,2003.13,0,,4282.31,143.6965567
547,1362-B,IMPERIAL GOLD,340,205,200,13.94,2522.066738,71,2279.18,0,,,163.4992826
548,1363-A,IMPERIAL GOLD,340,180,170,10.404,1543.78902,,,53,,,0
549,1363-B,IMPERIAL GOLD,340,180,170,10.404,1518.858988,,,54,,,0
550,1364-A,IMPERIAL GOLD,340,175,140,8.33,1290.096878,,,47,,,0
551,1364-B,IMPERIAL GOLD,340,175,140,8.33,1218.406889,,,49,,,0
552,1365-A,IMPERIAL GOLD,340,130,175,7.735,1862.820237,,,52,,,0
553,1365-B,IMPERIAL GOLD,340,130,175,7.735,,,,,,,0
554,1366,IMPERIAL GOLD,340,190,200,12.92,3789.364909,,,64,,,0
555,1367,IMPERIAL GOLD,340,130,140,6.188,0,,,47,,,0
556,1368-A,IMPERIAL GOLD,340,180,150,9.18,1825.349839,57,1619.89,0,0,3169.875455,176.4586057
557,1368-B,IMPERIAL GOLD,340,180,150,9.18,1668.891281,55,1495.6,2,54.38545455,,168.8437314
558,1369-A,IMPERIAL GOLD,350,200,160,11.2,1766.953714,,,50,,,0
559,1369-B,IMPERIAL GOLD,350,200,160,11.2,,,,,,,0
560,1370-A,IMPERIAL GOLD,350,165,200,11.55,2333.153929,75,2004.75,0,0,3909.35,173.5714286
561,1370-B,IMPERIAL GOLD,350,165,200,11.55,2110.010764,66,1904.6,0,0,,164.9004329
562,1371,IMPERIAL GOLD,340,110,110,4.114,1378.256189,,,40,,,0
563,1372-A,IMPERIAL GOLD,340,150,185,9.435,1818.945102,71,1557.11,0,0,1557.11,165.0355061
564,1372-B,IMPERIAL GOLD,340,150,185,9.435,1741.711518,,,69,,,0
565,1410-A,IMPERIAL GOLD,330,195,190,12.2265,1871.689989,,,69,,0,0
566,1410-B,IMPERIAL GOLD,330,195,190,12.2265,2180.344456,,,66,,,0
567,1411-A,IMPERIAL GOLD,345,190,210,13.7655,2659.892357,,,78,,0,0
568,1411-B,IMPERIAL GOLD,345,190,210,13.7655,2223.35845,,,75,,,0
569,1412-A,IMPERIAL GOLD,350,200,170,11.9,1909.666308,,,64,,0,0
570,1412-B,IMPERIAL GOLD,350,200,170,11.9,1969.34338,,,63,,,0
571,1413-A,IMPERIAL GOLD,340,180,165,10.098,992.8417653,,,43,,0,0
572,1413-B,IMPERIAL GOLD,340,180,165,10.098,1807.707212,,,64,,,0
573,1414,IMPERIAL GOLD,NOT RECEIVED,180,165,0,,,,,,,0
574,1415-A,IMPERIAL GOLD,340,190,130,8.398,1310.764263,,,45,,0,0
575,1415-B,IMPERIAL GOLD,340,190,130,8.398,1500.452099,,,48,,,0
576,1416,IMPERIAL GOLD,330,190,180,11.286,3972.271259,,,62,,,0
577,1417-A,IMPERIAL GOLD,330,200,170,11.22,1808.740581,,,59,,0,0
578,1417-B,IMPERIAL GOLD,330,200,170,11.22,1982.131324,,,62,,,0
579,1418-A,IMPERIAL GOLD,320,190,110,6.688,1138.724435,,,35,,,0
580,1418-B,IMPERIAL GOLD,320,190,110,6.688,1380.1507,,,44,,,0
581,1419-A,IMPERIAL GOLD,330,170,180,10.098,1604.305705,,,60,,1308.872308,0
582,1419-B,IMPERIAL GOLD,330,170,180,10.098,1631.044133,52,1115.76,9,193.1123077,,129.6169843
583,1420-A,IMPERIAL GOLD,350,200,185,12.95,2388.632939,27,888.2,40,1315.851852,4205.270852,170.1970542
584,1420-B,IMPERIAL GOLD,350,200,185,12.95,2318.880517,40,1212.86,26,788.359,,154.5342857
585,1421-A,IMPERIAL GOLD,305,150,195,8.92125,1457.050592,,,47,,0,0
586,1421-B,IMPERIAL GOLD,305,150,195,8.92125,1450.473628,,,47,,,0
587,1422,IMPERIAL GOLD,350,200,160,11.2,,,,,,,0
588,809 A,Himalayan Blue,340,200,220,14.96,2838.73,78,2246.11,0,0,4679.36,150.1410428
589,809 B,Himalayan Blue,340,200,220,14.96,2826.14,78,2433.25,0,0,,162.6504011
590,810 A,Himalayan Blue,345,205,210,14.852,2749.91,76,2223.88,0,0,4526.71,149.7360625
591,810 B,Himalayan Blue,345,205,210,14.852,2757.4,75,2302.83,0,0,,155.0518449
592,811 A,Himalayan Blue,340,200,210,14.28,2698.04,76,2079.9,0,0,4240.07,145.6512605
593,811 B,Himalayan Blue,340,200,210,14.28,2607.64,75,2160.17,0,0,,151.272409
594,812 A,Himalayan Blue,340,200,210,14.28,2055.44,76,1806.01,0,0,4118.57,126.4712885
595,812 B,Himalayan Blue,340,200,210,14.28,2725.86,76,2312.56,0,0,,161.9439776
596,813 A,Himalayan Blue,340,200,215,14.62,2830.93,77,2352.04,0,0,4479.888,160.878249
597,813 B,Himalayan Blue,340,200,215,14.62,2789.99,70,1959.86,6,167.988,,145.5436389
598,814 A,Himalayan Blue,340,200,205,13.94,2624.82,76,2110.75,0,0,4224.5,151.4167862
599,814 B,Himalayan Blue,340,200,205,13.94,2473.3,76,2113.75,0,0,,151.6319943
600,815 A,Himalayan Blue,340,200,210,14.28,2888.12,77,2405.33,0,0,4254.89,168.4404762
601,815 B,Himalayan Blue,340,200,210,14.28,2683.87,73,1849.56,0,0,,129.5210084
602,816 A,Himalayan Blue,340,200,215,14.62,2633.04,71,2061.96,0,0,4112.814,141.0369357
603,816 B,Himalayan Blue,340,200,215,14.62,2838.73,50,1314.65,28,736.204,,140.2772914
604,817 A,Himalayan Blue,340,200,215,14.62,2753.67,76,2262.13,0,0,4290.197,154.7284542
605,817 B,Himalayan Blue,340,200,215,14.62,2473.74,67,1941.15,3,86.917,,138.7186731
606,818 A,Himalayan Blue,340,200,215,14.62,2737.72,71,2065.19,5,145.436,4540.456,151.2056088
607,818 B,Himalayan Blue,340,200,215,14.62,2725.86,76,2329.83,0,0,,159.3590971
608,819 A,Himalayan Blue,340,200,210,14.28,2717.44,75,2291.35,0,0,4548.45,160.4586835
609,819 B,Himalayan Blue,340,200,210,14.28,2630.96,76,2257.1,0,0,,158.0602241
610,820 A,Himalayan Blue,340,200,210,14.28,2753.67,68,1895.09,8,222.952,4343.942,148.3222689
611,820 B,Himalayan Blue,340,200,210,14.28,2478.59,77,2225.9,0,0,,155.8753501
612,821 A,Himalayan Blue,340,195,115,7.6245,1500.54,41,1186.28,0,0,2403.63,155.5879074
613,821 B,Himalayan Blue,340,195,115,7.6245,1449.3,40,1217.35,0,0,,159.6629287
614,822 A,Himalayan Blue,340,200,125,8.5,1500.45,44,1321.36,0,0,2602.33,155.4541176
615,822 B,Himalayan Blue,340,200,125,8.5,1466.35,43,1280.97,0,0,,150.7023529
616,823,Himalayan Blue,345,205,85,6.012,2497.36,76,1993.28,0,0,1993.28,331.5502329
617,824 A,Himalayan Blue,345,205,130,9.1943,1652.84,47,1392.77,0,0,2788.148,151.4818964
618,824 B,Himalayan Blue,345,205,130,9.1943,1685.73,45,1336,2,59.378,,151.7655504
619,825,Himalayan Blue,342,110,210,7.9,2637.51,76,2101.34,0,0,2101.34,265.9924051
620,826,Himalayan Blue,343,110,215,8.112,2826.14,78,2160.51,0,0,2160.51,266.3350592
621,827,Himalayan Blue,345,110,220,8.349,2818.08,77,2216.15,0,0,2216.15,265.4389747
622,828 A,Himalayan Blue,342,205,207,14.51277,2809.3,75,2561.51,1,34.153,4585.233,178.8537268
623,828 B,Himalayan Blue,342,205,207,14.51277,2513.15,76,1989.57,0,0,,137.0909895
624,81,Ivory Fantasy,330,210,205,14.207,5478.26,75,5637.84,0,0,5637.84,396.8353628
625,82,Ivory Fantasy,327,153,165,8.255,4048.47,132,3457.45,0,0,3457.45,418.8310115
626,83,Ivory Fantasy,270,150,204,8.262,3163.48,109,2582.66,0,0,2582.66,312.5950133
627,84,Ivory Fantasy,340,95,165,5.33,2226.68,74,1996.31,0,0,1996.31,374.5422139
628,85,Ivory Fantasy,315,182,122,6.994,2930.48,84,2497.35,0,0,2497.35,357.070346
629,86,Ivory Fantasy,250,117,135,3.949,1486.73,46,864.42,22,413.418,1277.838,323.5852114
630,87,Ivory Fantasy,280,100,210,5.88,2033.42,65,1639.13,10,252.174,1891.304,321.6503401
631,88,Ivory Fantasy,210,180,105,3.969,1633.3,78,1608.4,0,0,1608.4,405.2406148
632,89,Ivory Fantasy,355,165,75,4.393,1733.43,61,1719.28,0,0,1719.28,391.3680856
633,90,Ivory Fantasy,335,70,197,4.62,2065.4,70,1871.59,2,53.474,1925.064,416.6805195
634,91,Ivory Fantasy,305,80,125,3.05,1191.25,42,869.88,0,0,869.88,285.2065574
635,92,Ivory Fantasy,340,95,175,5.653,2159.72,49,1285.97,22,577.374,1863.344,329.6203786
636,93,Ivory Fantasy,362,195,185,13.059,4143.66,119,3117.86,15,393.008,3510.868,268.8466192
637,94,Ivory Fantasy,320,180,190,10.944,4368.78,109,3249.58,17,506.815,3756.395,343.2378472
638,95,Ivory Fantasy,285,185,115,6.063,2628.13,63,1787.73,13,368.897,2156.627,355.7029523
639,96,Ivory Fantasy,380,200,160,12.16,3878.66,133,4290.1,0,0,4290.1,352.8042763
640,97,Ivory Fantasy,320,185,92,5.446,2005.58,56,1537.53,7,192.191,1729.721,317.6131105
641,98,Ivory Fantasy,325,175,180,10.238,3620.98,123,3216.42,5,130.749,3347.169,326.9358273
642,99,Ivory Fantasy,315,183,180,10.376,4319.37,114,3272.68,14,401.908,3674.588,354.1430224
643,100,Ivory Fantasy,306,190,175,10.175,3249.2,91,2375.22,36,939.647,3314.867,325.7854545
644,101,Ivory Fantasy,295,165,170,8.275,4165.55,109,3405.42,16,499.878,3905.298,471.9393353
645,102,Ivory Fantasy,225,195,175,7.678,4377.07,119,3425.01,26,748.322,4173.332,543.5441521
646,103,Ivory Fantasy,377,195,168,12.351,3643.01,86,1992.04,53,1227.653,3219.693,260.6827787
647,104,Ivory Fantasy,375,116,185,8.048,3426.71,77,2190.67,19,540.555,2731.225,339.3669235
648,126,Ivory Fantasy,217,162,93,3.269,1409.57,71,1283.42,2,36.153,1319.573,403.6625879
649,127,Ivory Fantasy,265,70,183,3.395,1712.42,28,604.15,38,819.918,1424.068,419.4603829
650,128,Ivory Fantasy,225,115,146,3.778,1830.76,95,1526.28,0,0,1526.28,403.9915299
651,129,Ivory Fantasy,235,90,100,2.115,743.68,34,644.7,1,18.962,663.662,313.7881797
652,130,Ivory Fantasy,320,145,165,7.656,3606.43,,,121,,0,0
653,131,Ivory Fantasy,380,30,182,2.075,889.64,20,528.01,5,132.003,660.013,318.0785542
654,132,Ivory Fantasy,345,140,180,8.694,4537.77,59,1386.17,92,2161.485,3547.655,408.057856
655,133,Ivory Fantasy,235,100,183,4.301,1839.55,78,1532.77,2,39.302,1572.072,365.5131365
656,134,Ivory Fantasy,245,97,185,4.397,1624.07,72,1518.04,3,63.252,1581.292,359.6297476
657,135,Ivory Fantasy,270,65,200,3.51,1426.85,52,1269.42,0,0,1269.42,361.6581197
658,136,Ivory Fantasy,232,175,85,3.451,1274.89,61,1260.77,2,41.337,1302.107,377.3129528
659,137,Ivory Fantasy,266,60,200,3.192,1719,63,1191.2,16,302.527,1493.727,467.9595865
660,138,Ivory Fantasy,350,66,185,4.274,1696.41,27,616.64,37,845.025,1461.665,341.9899392
661,139,Ivory Fantasy,250,105,90,2.363,893.33,32,705.54,0,0,705.54,298.5780787
662,140,Ivory Fantasy,230,95,120,2.622,668.27,,,34,,0,0
663,141,Ivory Fantasy,240,105,95,2.394,784.24,33,741.55,0,0,741.55,309.7535505
664,142,Ivory Fantasy,290,120,125,4.35,1979.71,90,1570.43,4,69.797,1640.227,377.0636782
665,143,Ivory Fantasy,360,120,180,7.776,2765.26,84,1898.21,0,0,1898.21,244.1113683
666,223,Hassan Green,231,156,87,3.135,2600,45,1300,5,144.444,1444.444,460.7476874
667,143,Black Forest,360,120,180,7.776,2765.26,84,1898.21,0,0,1898.21,244.1113683
668,148,Black Galaxy,360,140,180,9.072,2765.26,84,1898.21,0,0,1898.21,209.2383157